text,text_lower,lemma,lemma_lower,part_of_speech,is_alphabet,is_stopword
Codul,codul,Codul,codul,,True,False
Silvic,silvic,Silvic,silvic,,True,False
),),),),,False,False
este,este,este,este,,True,True
abrogat,abrogat,abrogat,abrogat,,True,False
6,6,6,6,,False,False
-46,-46,-46,-46,,False,False
.,.,.,.,,False,False
7,7,7,7,,False,False
8,8,8,8,,False,False
9,9,9,9,,False,False
10,10,10,10,,False,False
11,11,11,11,,False,False
Legea,legea,Legea,legea,,True,False
26/1996,26/1996,26/1996,26/1996,,False,False
",",",",",",",",,False,False
publicat,publicat,publicat,publicat,,True,False
în,în,în,în,,True,True
Monitorul,monitorul,Monitorul,monitorul,,True,False
Oficial,oficial,Oficial,oficial,,True,False
nr.,nr.,nr.,nr.,,False,False
93/1996,93/1996,93/1996,93/1996,,False,False
.,.,.,.,,False,False
12,12,12,12,,False,False
Republicat,republicat,Republicat,republicat,,True,False
în,în,în,în,,True,True
Monitorul,monitorul,Monitorul,monitorul,,True,False
Oficial,oficial,Oficial,oficial,,True,False
nr.,nr.,nr.,nr.,,False,False
611/2015.aport,611/2015.aport,611/2015.aport,611/2015.aport,,False,False
NECONFIDENIAL,neconfidenial,NECONFIDENIAL,neconfidenial,,True,False
10,10,10,10,,False,False
stimularea,stimularea,stimularea,stimularea,,True,False
asocia,asocia,asocia,asocia,,True,False
Ca,ca,Ca,ca,,True,True
elemente,elemente,elemente,elemente,,True,False
de,de,de,de,,True,True
noutate,noutate,noutate,noutate,,True,False
",",",",",",",",,False,False
prin,prin,prin,prin,,True,True
art,art,art,art,,True,False
.,.,.,.,,False,False
5,5,5,5,,False,False
din,din,din,din,,True,True
noul,noul,noul,noul,,True,False
cod,cod,cod,cod,,True,False
silvic,silvic,silvic,silvic,,True,False
",",",",",",",",,False,False
se,se,se,se,,True,True
stabilesc,stabilesc,stabilesc,stabilesc,,True,False
principiile,principiile,principiile,principiile,,True,False
care,care,care,care,,True,True
stau,stau,stau,stau,,True,False
